Date,Open,High,Low,Close,Volume
7/26/2019 15:30:00,503.85,506.05,498.7,500.73,1166192
7/29/2019 15:30:00,502.5,512,502,507.73,912913
7/30/2019 15:30:00,507.5,513.67,505.4,511.8,1067237
7/31/2019 15:30:00,511.25,518.95,501.48,517.28,1857018
8/1/2019 15:30:00,514.58,521.23,507.55,510.78,1745006
8/2/2019 15:30:00,508.5,508.95,496.5,505.25,1772429
8/5/2019 15:30:00,501.7,508.5,498.55,505.55,1343640
8/6/2019 15:30:00,505.55,518.5,501.6,512.1,1587416
8/7/2019 15:30:00,512.58,522.95,508.23,511.33,1983922
8/8/2019 15:30:00,517.98,547.5,514.03,544.13,6246649
8/9/2019 15:30:00,542.4,551.23,538.9,543.15,2822849
8/13/2019 15:30:00,545.95,545.95,533.67,536.25,1253805
8/14/2019 15:30:00,534.58,541.7,528.73,538.08,1401960
8/16/2019 15:30:00,538.45,538.45,525.25,531.38,1554110
8/19/2019 15:30:00,532.8,538.98,528.83,532.03,841106
8/20/2019 15:30:00,533.95,545.4,532.55,542,2141154
8/21/2019 15:30:00,541.48,541.78,533.03,535.08,1277623
8/22/2019 15:30:00,535.25,543.17,528.03,539.45,1290490
8/23/2019 15:30:00,539.5,548.73,538.8,543.5,1659577
8/26/2019 15:30:00,545.8,548,531.83,546.42,1157442
8/27/2019 15:30:00,549.5,550,531.9,546.55,3302194
8/28/2019 15:30:00,548.5,565,546.15,561.98,3492642
8/29/2019 15:30:00,556.5,562.85,555,558.88,1474019
8/30/2019 15:30:00,557.85,557.9,541.6,550.17,3369035
9/3/2019 15:30:00,553.5,565.3,551.42,554.17,2043447
9/4/2019 15:30:00,556.17,564.25,551.95,562.83,1212845
9/5/2019 15:30:00,562.73,562.73,551.88,555.98,1387647
9/6/2019 15:30:00,557.75,560.58,548.48,550.2,1037843
9/9/2019 15:30:00,551,551,540.5,542.2,1760864
9/11/2019 15:30:00,544,547,526.3,528.85,2662753
9/12/2019 15:30:00,528.5,532.23,524,527.45,2032367
9/13/2019 15:30:00,527.45,535,526.95,534.25,1545794
9/16/2019 15:30:00,535,539.48,528.5,534.95,1944434
9/17/2019 15:30:00,534.5,534.5,523.28,527.92,1907554
9/18/2019 15:30:00,529.83,533.48,525.33,529.23,1286336
9/19/2019 15:30:00,529,529,516.13,524.78,1881136
9/20/2019 15:30:00,526,531.78,518.65,524.55,2868041
9/23/2019 15:30:00,531.5,531.5,508.5,516.45,2366746
9/24/2019 15:30:00,511.6,525.85,511.5,523.7,2807226
9/25/2019 15:30:00,524.75,531,522.1,526.92,2156410
9/26/2019 15:30:00,527,527.78,516.63,522.58,3031038
9/27/2019 15:30:00,522.75,526.8,517.05,520.53,2229167
9/30/2019 15:30:00,522,548.25,521.53,540.3,4279793
10/1/2019 15:30:00,540.5,540.5,526.6,529.78,2095348
10/3/2019 15:30:00,529,545,527.08,538.4,1717651
10/4/2019 15:30:00,538,540.9,532.33,539.55,1347094
10/7/2019 15:30:00,542.88,545.5,534.45,537.2,955249
10/9/2019 15:30:00,535.03,536.98,520.08,525.55,1875270
10/10/2019 15:30:00,525.53,533.05,520.7,531.75,1353776
10/11/2019 15:30:00,525,545,524,539.75,2156390
10/14/2019 15:30:00,541.2,549.9,537,543.4,1390602
10/15/2019 15:30:00,544.55,549.58,539.73,542.25,1501035
10/16/2019 15:30:00,544.5,553.5,541.55,550.45,1509394
10/17/2019 15:30:00,550,551.1,542.28,546.53,776139
10/18/2019 15:30:00,547.48,552.73,544.2,547.75,823815
10/22/2019 15:30:00,545.1,547.95,525.75,532.23,2751243
10/23/2019 15:30:00,535,551.98,534,547.58,3914537
10/24/2019 15:30:00,577.55,579.5,555.25,559.53,6751080
10/25/2019 19:00:00,560.5,568.63,549.05,567.03,2293610
10/27/2019 19:25:00,569,569.83,562.55,565.45,151955
10/29/2019 15:30:00,565.45,572.92,563.98,569.88,1609103
10/30/2019 15:30:00,575,575,569.1,573.38,1220876
